"TransactionID","itemDescription"
"1013_20-02-2014","whole milk"
"2676_10-01-2014","other vegetables"
"4155_03-09-2014","beef"
"1365_23-08-2014","sausage"
"4917_30-05-2014","frankfurter"
"4686_27-06-2014","whole milk"
"4842_23-05-2014","sausage"
"3673_11-08-2014","other vegetables"
"4214_03-10-2014","sausage"
"3952_27-07-2014","other vegetables"
"3972_03-04-2014","frankfurter"
"3790_31-07-2014","frankfurter"
"3042_04-04-2014","curd"
"2567_22-07-2014","grapes"
"3830_28-07-2014","canned beer"
"2515_27-01-2014","hamburger meat"
"2545_14-01-2014","citrus fruit"
"1006_09-04-2014","whole milk"
"2590_03-09-2014","frozen dessert"
"1757_30-03-2014","yogurt"
"2352_27-03-2014","tropical fruit"
"1136_28-09-2014","tropical fruit"
"3123_08-07-2014","fruit/vegetable juice"
"3224_06-08-2014","hamburger meat"
"4642_17-12-2014","newspapers"
"2380_05-04-2014","specialty chocolate"
"4029_27-10-2014","soda"
"1103_12-07-2014","ice cream"
"4655_14-11-2014","beef"
"1773_28-10-2014","sausage"
"4645_10-11-2014","yogurt"
"1468_02-10-2014","whole milk"
"4383_02-12-2014","ice cream"
"3279_07-03-2014","frankfurter"
"3025_19-01-2014","hamburger meat"
"2969_13-04-2014","frankfurter"
"1767_02-06-2014","frankfurter"
"2830_21-09-2014","sausage"
"3556_02-04-2014","pork"
"1104_09-05-2014","yogurt"
"1740_21-11-2014","ham"
"1844_18-09-2014","other vegetables"
"2544_09-06-2014","sausage"
"3655_10-05-2014","beef"
"4947_28-01-2014","dishes"
"4002_24-08-2014","pork"
"4951_15-08-2014","beef"
"3309_06-06-2014","whole milk"
"2289_03-07-2014","chicken"
"2120_06-07-2014","yogurt"
"4679_13-06-2014","salty snack"
"3220_15-03-2014","pip fruit"
"2146_30-05-2014","sausage"
"1851_12-02-2014","curd"
"1889_03-08-2014","beef"
"2789_02-11-2014","salty snack"
"2611_29-12-2014","frankfurter"
"1309_23-12-2014","dessert"
"2259_16-06-2014","frankfurter"
"2540_16-12-2014","whole milk"
"3539_13-01-2014","photo/film"
"4149_12-05-2014","pip fruit"
"3847_08-06-2014","sausage"
"4285_13-04-2014","root vegetables"
"1445_13-04-2014","frankfurter"
"2701_03-05-2014","ham"
"1602_29-05-2014","pip fruit"
"1590_01-06-2014","citrus fruit"
"3704_02-08-2014","soda"
"4035_14-07-2014","sugar"
"4861_23-03-2014","hamburger meat"
"3757_08-07-2014","whole milk"
"4743_07-07-2014","nuts/prunes"
"4527_16-03-2014","frankfurter"
"2756_14-05-2014","red/blush wine"
"1432_18-02-2014","berries"
"3089_20-08-2014","sausage"
"4614_25-12-2014","salty snack"
"4255_02-01-2014","frankfurter"
"3426_02-05-2014","pork"
"3343_03-08-2014","misc. beverages"
"3550_18-12-2014","ice cream"
"4785_14-08-2014","chocolate"
"3137_11-09-2014","whole milk"
"4645_13-12-2014","other vegetables"
"1369_05-05-2014","spread cheese"
"3684_06-02-2014","whole milk"
"4423_25-02-2014","pip fruit"
"3561_26-05-2014","frankfurter"
"2625_14-12-2014","pork"
"1218_08-05-2014","citrus fruit"
"2120_07-07-2014","bottled beer"
"2332_14-05-2014","citrus fruit"
"2269_05-01-2014","hamburger meat"
"2607_20-11-2014","whipped/sour cream"
"4866_16-09-2014","sausage"
"2723_27-10-2014","citrus fruit"
"3660_19-05-2014","rolls/buns"
"2407_08-01-2014","sliced cheese"
"3670_04-08-2014","butter milk"
"3743_03-07-2014","sausage"
"3598_13-03-2014","other vegetables"
"3882_18-07-2014","beef"
"1175_02-01-2014","hamburger meat"
"2913_14-12-2014","chicken"
"1087_26-02-2014","sausage"
"2075_06-05-2014","sausage"
"3034_26-12-2014","bottled water"
"4820_28-10-2014","pastry"
"1651_20-08-2014","cat food"
"3625_17-10-2014","other vegetables"
"3487_25-03-2014","whole milk"
"1729_20-03-2014","other vegetables"
"2803_03-07-2014","tropical fruit"
"3692_19-10-2014","citrus fruit"
"1649_29-07-2014","pork"
"4015_17-02-2014","canned beer"
"4427_12-03-2014","frankfurter"
"4021_31-10-2014","yogurt"
"1737_28-08-2014","sausage"
"2320_05-02-2014","cream cheese "
"4725_31-08-2014","other vegetables"
"1697_22-01-2014","sausage"
"2341_17-04-2014","frankfurter"
"1180_24-08-2014","citrus fruit"
"3226_26-02-2014","ham"
"4288_24-09-2014","soda"
"2181_29-04-2014","frankfurter"
"2517_12-05-2014","citrus fruit"
"2909_18-01-2014","frozen fish"
"4312_02-04-2014","whole milk"
"4965_23-12-2014","ham"
"1224_20-09-2014","sausage"
"3135_21-06-2014","shopping bags"
"1914_28-11-2014","cereals"
"3589_07-09-2014","frozen fish"
"4274_31-03-2014","whole milk"
"3395_17-03-2014","soda"
"4086_15-11-2014","pastry"
"1033_02-03-2014","frankfurter"
"2398_23-07-2014","yogurt"
"3782_16-09-2014","domestic eggs"
"3109_11-09-2014","sausage"
"2028_22-08-2014","ham"
"4963_03-03-2014","other vegetables"
"1043_14-03-2014","tropical fruit"
"4303_24-10-2014","whole milk"
"3282_28-08-2014","sausage"
"3220_13-12-2014","soda"
"3297_30-03-2014","tropical fruit"
"2153_14-12-2014","domestic eggs"
"1065_25-12-2014","red/blush wine"
"1126_02-11-2014","rolls/buns"
"1399_06-02-2014","other vegetables"
"2602_03-01-2014","frankfurter"
"2478_02-09-2014","citrus fruit"
"2645_07-08-2014","dessert"
"3109_14-10-2014","tropical fruit"
"3268_31-01-2014","hamburger meat"
"2556_06-03-2014","soda"
"3139_06-11-2014","chicken"
"2971_12-07-2014","rolls/buns"
"4391_04-06-2014","butter"
"3322_01-08-2014","pip fruit"
"1740_08-07-2014","specialty bar"
"3367_27-02-2014","sausage"
"3616_11-06-2014","grapes"
"3736_16-02-2014","semi-finished bread"
"1795_20-05-2014","domestic eggs"
"2702_08-09-2014","pastry"
"4397_28-08-2014","root vegetables"
"2649_18-02-2014","whole milk"
"4752_04-03-2014","meat"
"2028_26-10-2014","canned beer"
"1128_10-05-2014","frankfurter"
"1199_23-03-2014","grapes"
"4986_08-02-2014","candles"
"3102_09-05-2014","other vegetables"
"2079_04-11-2014","tropical fruit"
"1931_13-03-2014","chicken"
"1176_04-09-2014","soda"
"3562_11-09-2014","ham"
"1962_14-06-2014","pork"
"1782_10-04-2014","frozen vegetables"
"3493_01-12-2014","beef"
"4268_14-10-2014","pork"
"3730_17-04-2014","dessert"
"1144_07-11-2014","pork"
"4637_06-12-2014","chicken"
"1855_26-09-2014","hamburger meat"
"3022_16-02-2014","chicken"
"3960_23-01-2014","baking powder"
"2786_30-08-2014","other vegetables"
"2550_11-06-2014","curd"
"1141_08-04-2014","tropical fruit"
"3226_25-10-2014","rolls/buns"
"3846_25-08-2014","meat"
"1282_06-06-2014","soda"
"3213_19-12-2014","photo/film"
"3910_17-02-2014","pet care"
"2533_21-09-2014","other vegetables"
"3713_17-12-2014","citrus fruit"
"2131_18-02-2014","citrus fruit"
"2878_13-06-2014","rolls/buns"
"2355_26-01-2014","canned beer"
"3847_31-07-2014","canned beer"
"3619_16-12-2014","sugar"
"4980_25-08-2014","meat"
"1185_27-09-2014","frankfurter"
"4049_23-12-2014","dishes"
"2681_04-09-2014","pork"
"1742_20-10-2014","frankfurter"
"4594_01-07-2014","other vegetables"
"3869_24-05-2014","newspapers"
"1191_10-03-2014","berries"
"2466_28-01-2014","beef"
"4857_03-03-2014","whole milk"
"3087_21-02-2014","citrus fruit"
"4730_26-11-2014","other vegetables"
"2120_27-02-2014","root vegetables"
"2452_18-02-2014","frankfurter"
"3499_04-04-2014","other vegetables"
"1731_28-12-2014","sausage"
"1751_27-02-2014","yogurt"
"1991_14-07-2014","sausage"
"4300_28-01-2014","hamburger meat"
"2009_03-06-2014","pork"
"1585_17-09-2014","tropical fruit"
"1604_03-02-2014","rolls/buns"
"3804_27-12-2014","tropical fruit"
"4955_22-03-2014","sausage"
"4826_14-04-2014","hamburger meat"
"2294_04-07-2014","pip fruit"
"2857_28-08-2014","beef"
"4911_20-07-2014","other vegetables"
"4924_31-01-2014","sausage"
"1392_12-09-2014","other vegetables"
"3917_03-04-2014","ham"
"3032_28-12-2014","frankfurter"
"1808_29-11-2014","meat"
"4082_01-07-2014","ham"
"1673_08-04-2014","citrus fruit"
"3246_21-05-2014","rolls/buns"
"1415_05-01-2014","sausage"
"2555_27-12-2014","root vegetables"
"4426_01-12-2014","berries"
"4406_20-01-2014","pork"
"3514_13-12-2014","meat"
"4197_29-09-2014","pastry"
"3206_24-08-2014","long life bakery product"
"3767_30-01-2014","meat"
"3761_01-03-2014","meat"
"3013_07-08-2014","sauces"
"2454_09-11-2014","pip fruit"
"4042_25-01-2014","root vegetables"
"3936_06-08-2014","ham"
"2943_30-06-2014","hamburger meat"
"3163_09-11-2014","yogurt"
"1435_07-12-2014","beef"
"4174_15-07-2014","citrus fruit"
"1929_10-11-2014","berries"
"4462_21-09-2014","frankfurter"
"3840_06-11-2014","citrus fruit"
"2946_09-01-2014","onions"
"4434_31-08-2014","beef"
"2826_04-09-2014","frankfurter"
"1376_29-11-2014","pip fruit"
"1896_25-07-2014","brown bread"
"4952_02-10-2014","meat"
"4117_24-04-2014","citrus fruit"
"1385_27-02-2014","beef"
"4448_21-02-2014","other vegetables"
"4622_12-06-2014","chicken"
"4018_27-09-2014","sausage"
"3757_18-12-2014","tropical fruit"
"1816_09-01-2014","soda"
"3189_08-02-2014","citrus fruit"
"4581_05-08-2014","coffee"
"3416_13-07-2014","chicken"
"2910_01-03-2014","sugar"
"2720_26-06-2014","turkey"
"2351_01-01-2014","cleaner"
"3348_18-11-2014","herbs"
"2703_29-09-2014","citrus fruit"
"2612_04-06-2014","citrus fruit"
"3299_06-09-2014","beef"
"3722_20-02-2014","sausage"
"2289_17-08-2014","soda"
"4656_05-07-2014","liquor"
"3485_21-05-2014","pork"
"4114_07-08-2014","chicken"
"1586_02-05-2014","pip fruit"
"2815_30-10-2014","beef"
"4239_08-12-2014","frankfurter"
"1494_13-02-2014","bottled water"
"1747_17-12-2014","canned beer"
"2218_25-09-2014","pip fruit"
"4959_20-10-2014","pip fruit"
"2453_07-05-2014","sausage"
"4502_27-07-2014","hamburger meat"
"1504_12-01-2014","sausage"
"4494_24-04-2014","beef"
"3610_18-03-2014","other vegetables"
"3617_16-04-2014","pastry"
"1279_25-08-2014","chicken"
"2387_11-03-2014","herbs"
"2912_24-08-2014","beef"
"3008_09-07-2014","butter"
"2739_11-07-2014","root vegetables"
"2038_28-10-2014","beef"
"3090_22-11-2014","whipped/sour cream"
"3142_05-05-2014","butter"
"2962_07-06-2014","root vegetables"
"4067_29-04-2014","tropical fruit"
"1307_15-12-2014","hamburger meat"
"4917_21-04-2014","pork"
"2157_26-06-2014","beef"
"3876_25-08-2014","grapes"
"1917_25-02-2014","frankfurter"
"4750_11-04-2014","pork"
"1820_24-02-2014","meat"
"2226_01-01-2014","sausage"
"2801_23-01-2014","root vegetables"
"3569_06-11-2014","sausage"
"2950_18-11-2014","canned beer"
"1382_08-05-2014","citrus fruit"
"1856_23-10-2014","frankfurter"
"3059_05-03-2014","sausage"
"1686_05-05-2014","pork"
"2065_01-03-2014","sausage"
"1566_24-01-2014","citrus fruit"
"1197_03-05-2014","whole milk"
"4557_11-01-2014","tropical fruit"
"2495_24-02-2014","other vegetables"
"3739_20-10-2014","rolls/buns"
"1621_18-06-2014","other vegetables"
"2435_02-02-2014","sausage"
"4948_23-05-2014","root vegetables"
"4531_11-10-2014","pastry"
"4384_22-10-2014","bottled water"
"3441_20-04-2014","other vegetables"
"2880_04-12-2014","tropical fruit"
"4268_22-02-2014","frankfurter"
"4901_12-04-2014","pastry"
"2606_22-08-2014","citrus fruit"
"4687_08-04-2014","meat"
"4121_19-04-2014","ice cream"
"1160_06-02-2014","whole milk"
"3122_25-12-2014","soda"
"1847_10-01-2014","canned beer"
"3402_24-12-2014","roll products "
"3349_09-07-2014","tropical fruit"
"3967_20-02-2014","other vegetables"
"2808_23-01-2014","other vegetables"
"1730_19-08-2014","sugar"
"2664_08-10-2014","chicken"
"2584_18-05-2014","chicken"
"2028_29-10-2014","meat"
"3636_19-11-2014","rolls/buns"
"3769_28-01-2014","root vegetables"
"2338_11-03-2014","newspapers"
"3593_12-04-2014","ham"
"4432_04-12-2014","sausage"
"3721_20-02-2014","specialty cheese"
"4133_22-08-2014","seasonal products"
"2541_07-05-2014","newspapers"
"1897_12-09-2014","sausage"
"3350_23-05-2014","rolls/buns"
"3311_18-07-2014","whole milk"
"4864_16-06-2014","sausage"
"3732_18-01-2014","ice cream"
"4494_26-05-2014","chicken"
"2160_30-07-2014","shopping bags"
"3812_30-04-2014","bottled water"
"3872_28-07-2014","root vegetables"
"4257_14-06-2014","sausage"
"3891_13-09-2014","chicken"
"1465_23-01-2014","ham"
"1440_06-01-2014","tropical fruit"
"4974_18-07-2014","rolls/buns"
"1282_24-10-2014","other vegetables"
"1824_08-08-2014","sausage"
"4195_09-09-2014","berries"
"4389_31-10-2014","frankfurter"
"2855_17-01-2014","yogurt"
"4803_30-12-2014","bottled water"
"2633_16-05-2014","bottled water"
"3531_26-12-2014","berries"
"4721_16-06-2014","pastry"
"1644_28-02-2014","citrus fruit"
"1053_05-11-2014","chicken"
"2464_11-06-2014","sausage"
"1765_21-10-2014","fruit/vegetable juice"
"2973_26-10-2014","beverages"
"4297_02-08-2014","UHT-milk"
"4364_21-01-2014","turkey"
"3531_25-08-2014","white wine"
"4217_15-03-2014","other vegetables"
"4723_07-11-2014","other vegetables"
"3161_22-11-2014","sausage"
"4024_21-11-2014","liver loaf"
"4969_06-12-2014","butter milk"
"4762_15-01-2014","pip fruit"
"2746_20-04-2014","rolls/buns"
"2972_19-02-2014","frankfurter"
"3569_27-05-2014","frankfurter"
"4355_13-01-2014","whole milk"
"2863_12-03-2014","frankfurter"
"4740_03-09-2014","dessert"
"2201_04-02-2014","other vegetables"
"2645_09-10-2014","oil"
"3783_04-06-2014","red/blush wine"
"1440_26-07-2014","rolls/buns"
"3186_24-07-2014","tropical fruit"
"1979_07-09-2014","root vegetables"
"2401_11-05-2014","yogurt"
"4337_28-08-2014","sausage"
"2112_06-06-2014","whole milk"
"1072_23-06-2014","ham"
"1996_02-02-2014","domestic eggs"
"1269_24-04-2014","tropical fruit"
"2341_23-01-2014","root vegetables"
"2204_13-06-2014","chicken"
"2729_30-09-2014","pork"
"3435_10-04-2014","coffee"
"1755_04-06-2014","waffles"
"2909_30-01-2014","butter"
"2372_10-10-2014","sausage"
"4342_27-10-2014","other vegetables"
"4772_22-06-2014","house keeping products"
"1741_12-07-2014","liver loaf"
"4598_05-09-2014","citrus fruit"
"1677_21-02-2014","hamburger meat"
"3667_13-12-2014","sausage"
"3273_04-02-2014","other vegetables"
"1026_23-08-2014","citrus fruit"
"4671_20-01-2014","sausage"
"3764_22-01-2014","other vegetables"
"4293_28-03-2014","ham"
"4512_13-06-2014","tropical fruit"
"2755_19-08-2014","napkins"
"4146_24-08-2014","whole milk"
"3564_23-02-2014","brown bread"
"4922_18-02-2014","sausage"
"3680_21-01-2014","hamburger meat"
"2664_08-01-2014","citrus fruit"
"1411_15-04-2014","beverages"
"2633_07-09-2014","frozen meals"
"3137_26-08-2014","beef"
"1672_26-01-2014","sausage"
"3344_21-11-2014","sausage"
"3248_07-04-2014","hamburger meat"
"2004_22-06-2014","grapes"
"3989_23-09-2014","meat"
"2451_28-09-2014","other vegetables"
"2383_13-01-2014","pork"
"3546_12-10-2014","tropical fruit"
"2427_22-12-2014","pip fruit"
"2859_27-02-2014","brown bread"
"3509_05-10-2014","waffles"
"3811_07-07-2014","whole milk"
"4127_18-03-2014","whole milk"
"2166_07-03-2014","root vegetables"
"2526_08-02-2014","other vegetables"
"3342_15-12-2014","pork"
"4109_03-06-2014","pet care"
"2930_14-02-2014","bottled water"
"3844_10-06-2014","yogurt"
"2736_14-10-2014","UHT-milk"
"2411_07-01-2014","canned beer"
"3423_15-03-2014","bottled water"
"2391_18-01-2014","citrus fruit"
"1597_12-10-2014","UHT-milk"
"2510_13-08-2014","whole milk"
"3776_28-11-2014","chicken"
"1138_07-07-2014","citrus fruit"
"3799_10-11-2014","pork"
"1022_07-06-2014","sausage"
"1961_06-07-2014","citrus fruit"
"3102_17-04-2014","beef"
"4704_07-11-2014","berries"
"4192_08-06-2014","beverages"
"2957_06-06-2014","shopping bags"
"3921_16-06-2014","chicken"
"1904_24-03-2014","napkins"
"4426_30-10-2014","coffee"
"2383_18-09-2014","root vegetables"
"4788_17-02-2014","other vegetables"
"1752_12-07-2014","canned beer"
"5000_16-11-2014","bottled beer"
"4353_26-09-2014","bottled beer"
"1372_04-05-2014","hamburger meat"
"4515_23-06-2014","frankfurter"
"2718_25-01-2014","root vegetables"
"2148_13-01-2014","soda"
"4808_20-11-2014","soap"
"4711_19-06-2014","yogurt"
"4228_08-02-2014","soda"
"1522_23-08-2014","newspapers"
"2291_29-09-2014","whole milk"
"3203_17-06-2014","frankfurter"
"3413_02-08-2014","frankfurter"
"4262_21-06-2014","canned beer"
"2581_17-03-2014","sparkling wine"
"1687_24-02-2014","sausage"
"4957_19-05-2014","detergent"
"2840_22-07-2014","butter"
"4738_08-06-2014","bottled beer"
"1970_11-06-2014","ham"
"1491_08-11-2014","hygiene articles"
"2015_04-08-2014","tropical fruit"
"1961_16-01-2014","tropical fruit"
"3155_22-09-2014","meat"
"1993_12-10-2014","chicken"
"3049_30-09-2014","pet care"
"4019_14-10-2014","beverages"
"1826_19-12-2014","sausage"
"1629_22-07-2014","yogurt"
"4075_08-03-2014","whole milk"
"1241_03-01-2014","oil"
"1542_22-07-2014","sausage"
"1274_10-07-2014","coffee"
"4182_05-01-2014","liver loaf"
"4401_18-03-2014","sausage"
"4766_20-09-2014","frankfurter"
"4880_11-09-2014","whipped/sour cream"
"1939_28-03-2014","frozen vegetables"
"4341_26-10-2014","whipped/sour cream"
"4480_17-05-2014","frankfurter"
"3997_22-11-2014","whole milk"
"3674_08-07-2014","yogurt"
"1608_26-07-2014","napkins"
"2088_21-09-2014","root vegetables"
"3897_09-12-2014","bottled water"
"4783_10-05-2014","other vegetables"
"4813_20-11-2014","bottled water"
"4842_30-06-2014","pip fruit"
"2971_04-03-2014","napkins"
"4972_13-12-2014","tropical fruit"
"4215_10-04-2014","yogurt"
"1001_07-02-2014","sausage"
"4535_09-07-2014","yogurt"
"2252_13-04-2014","cream cheese "
"2433_08-04-2014","pip fruit"
"1935_28-08-2014","pip fruit"
"2484_17-08-2014","hamburger meat"
"2900_23-11-2014","sugar"
"4504_24-09-2014","sausage"
"4183_12-10-2014","sausage"
"3651_22-06-2014","sausage"
"1381_05-02-2014","coffee"
"1190_18-05-2014","pip fruit"
"1262_22-07-2014","whole milk"
"3555_14-10-2014","onions"
"3621_04-01-2014","ham"
"2831_30-05-2014","soda"
"3508_15-12-2014","root vegetables"
"1468_12-07-2014","ham"
"3269_09-07-2014","sausage"
"3844_24-06-2014","semi-finished bread"
"4950_30-08-2014","other vegetables"
"4129_23-10-2014","cream cheese "
"1596_12-10-2014","dessert"
"4372_17-04-2014","whole milk"
"2183_13-07-2014","frankfurter"
"3617_01-10-2014","liquor (appetizer)"
"4692_10-08-2014","curd"
"2210_30-12-2014","curd"
"1605_13-11-2014","other vegetables"
"3604_13-09-2014","pork"
"3524_01-08-2014","frozen meals"
"2089_20-08-2014","soda"
"1522_27-03-2014","sausage"
"1461_05-08-2014","other vegetables"
"3338_25-12-2014","pip fruit"
"2608_02-05-2014","tropical fruit"
"4103_17-05-2014","canned beer"
"2747_07-04-2014","root vegetables"
"2955_21-03-2014","sausage"
"3699_14-08-2014","bottled water"
"3561_27-12-2014","citrus fruit"
"4579_28-02-2014","whole milk"
"3232_10-09-2014","pastry"
"2904_07-04-2014","pip fruit"
"2251_09-06-2014","pork"
"1174_26-07-2014","citrus fruit"
"1725_21-08-2014","curd"
"4646_28-12-2014","UHT-milk"
"4348_04-11-2014","rolls/buns"
"2589_23-10-2014","whole milk"
"3693_06-06-2014","root vegetables"
"4154_26-05-2014","white bread"
"3596_16-12-2014","nuts/prunes"
"1063_07-06-2014","whole milk"
"4247_02-01-2014","soda"
"4596_28-10-2014","hygiene articles"
"1246_29-12-2014","other vegetables"
"1916_21-05-2014","citrus fruit"
"3157_25-04-2014","sausage"
"3313_01-03-2014","bottled beer"
"3210_09-02-2014","pork"
"2663_02-08-2014","other vegetables"
"4339_27-03-2014","berries"
"1216_07-02-2014","citrus fruit"
"3830_23-08-2014","sausage"
"1980_14-05-2014","citrus fruit"
"2219_30-05-2014","root vegetables"
"1461_11-08-2014","bottled beer"
"1121_15-03-2014","coffee"
"4664_02-09-2014","citrus fruit"
"4432_04-09-2014","tropical fruit"
"1474_10-04-2014","frankfurter"
"4651_27-09-2014","white wine"
"3889_23-12-2014","other vegetables"
"1767_24-11-2014","sparkling wine"
"1883_01-04-2014","frankfurter"
"4882_08-10-2014","whipped/sour cream"
"3119_22-01-2014","salty snack"
"4712_19-03-2014","whole milk"
"2347_15-01-2014","sausage"
"2549_27-12-2014","dessert"
"3938_11-10-2014","citrus fruit"
"2483_14-08-2014","pip fruit"
"4307_05-07-2014","yogurt"
"4628_28-11-2014","butter"
"4722_08-07-2014","tropical fruit"
"2577_08-03-2014","root vegetables"
"3452_21-02-2014","meat"
"2732_26-02-2014","salty snack"
"3022_19-09-2014","beef"
"2727_23-01-2014","fish"
"3480_10-08-2014","root vegetables"
"3602_27-10-2014","whole milk"
"3855_11-01-2014","coffee"
"2653_21-04-2014","pastry"
"2887_05-12-2014","waffles"
"1209_01-11-2014","sausage"
"3775_08-09-2014","sausage"
"4887_30-03-2014","soda"
"2597_21-09-2014","sausage"
"1798_17-01-2014","pip fruit"
"2475_26-01-2014","citrus fruit"
"3092_02-09-2014","brown bread"
"3521_25-12-2014","soda"
"1289_09-05-2014","rolls/buns"
"1159_28-01-2014","citrus fruit"
"1774_08-06-2014","butter"
"3090_02-10-2014","whole milk"
"2756_08-10-2014","fruit/vegetable juice"
"4201_06-08-2014","flower (seeds)"
"1922_06-04-2014","chocolate"
"4244_16-12-2014","frozen fruits"
"1778_22-12-2014","beef"
"4130_01-08-2014","root vegetables"
"1868_01-11-2014","whole milk"
"3307_21-03-2014","sausage"
"1333_27-11-2014","whole milk"
"1892_21-07-2014","butter"
"3560_21-07-2014","citrus fruit"
"1488_30-01-2014","meat"
"4222_20-05-2014","sausage"
"4548_02-01-2014","UHT-milk"
"1480_04-02-2014","tropical fruit"
"3573_19-11-2014","bottled water"
"4431_16-03-2014","salty snack"
"4847_16-10-2014","frankfurter"
"4669_13-04-2014","tropical fruit"
"4013_21-07-2014","tropical fruit"
"1599_21-08-2014","sausage"
"3009_19-04-2014","frankfurter"
"3526_24-10-2014","sausage"
"2455_07-04-2014","rolls/buns"
"1942_15-10-2014","hamburger meat"
"3855_08-06-2014","meat"
"4661_16-08-2014","hamburger meat"
"1056_24-09-2014","ham"
"3996_27-11-2014","beef"
"4879_12-04-2014","meat"
"3965_30-12-2014","tropical fruit"
"3172_01-08-2014","whole milk"
"3028_25-04-2014","frankfurter"
"1462_24-09-2014","bottled water"
"2075_03-05-2014","citrus fruit"
"4901_30-05-2014","other vegetables"
"1738_06-09-2014","dessert"
"4011_28-08-2014","oil"
"3683_07-11-2014","bottled water"
"2453_06-06-2014","root vegetables"
"2900_19-02-2014","chicken"
"3297_22-03-2014","whole milk"
"1247_04-10-2014","frozen vegetables"
"3731_29-05-2014","tropical fruit"
"4638_19-02-2014","root vegetables"
"1883_08-06-2014","pork"
"2597_15-04-2014","cream cheese "
"1625_08-09-2014","zwieback"
"3867_10-08-2014","chicken"
"1642_28-09-2014","bottled water"
"2133_05-07-2014","pork"
"3697_16-01-2014","sausage"
"3520_19-11-2014","whole milk"
"3106_11-05-2014","nuts/prunes"
"2900_05-03-2014","sausage"
"4623_18-12-2014","brandy"
"4809_28-05-2014","chicken"
"2023_31-03-2014","spread cheese"
"1922_01-01-2014","tropical fruit"
"3100_19-12-2014","canned beer"
"2299_04-04-2014","chicken"
"2778_26-04-2014","yogurt"
"1263_11-05-2014","citrus fruit"
"1457_09-07-2014","waffles"
"3141_03-07-2014","chicken"
"2553_15-08-2014","chewing gum"
"1879_15-08-2014","whole milk"
"4261_08-02-2014","bottled beer"
"4414_17-02-2014","rolls/buns"
"4884_30-01-2014","other vegetables"
"1743_17-01-2014","frankfurter"
"3713_31-01-2014","finished products"
"2955_10-08-2014","sausage"
"3689_03-05-2014","sausage"
"4224_30-08-2014","rolls/buns"
"4641_16-03-2014","root vegetables"
"3793_07-09-2014","whole milk"
"3838_05-08-2014","whole milk"
"4774_24-07-2014","sausage"
"2093_02-06-2014","whole milk"
"4234_27-10-2014","pip fruit"
"3221_28-10-2014","soda"
"2565_01-05-2014","sausage"
"2534_14-06-2014","frankfurter"
"1141_08-06-2014","cat food"
"2396_12-04-2014","frankfurter"
"3127_21-10-2014","pork"
"3248_06-02-2014","pork"
"4658_26-01-2014","canned beer"
"1457_22-09-2014","grapes"
"3642_08-11-2014","pork"
"4330_26-03-2014","beef"
"2274_11-04-2014","beef"
"4575_06-01-2014","sausage"
"3600_03-09-2014","frankfurter"
"4155_15-03-2014","tropical fruit"
"2272_07-06-2014","frankfurter"
"3709_01-10-2014","pastry"
"1983_21-07-2014","whole milk"
"4556_04-11-2014","ham"
"3586_27-10-2014","rolls/buns"
"1280_20-03-2014","finished products"
"2144_13-07-2014","pork"
"1945_02-12-2014","oil"
"4749_01-10-2014","finished products"
"1010_27-08-2014","frankfurter"
"3028_07-10-2014","chicken"
"4853_24-12-2014","frozen meals"
"1878_07-09-2014","curd"
"1064_03-09-2014","root vegetables"
"4781_18-05-2014","beverages"
"1817_02-11-2014","whole milk"
"4457_21-06-2014","pork"
"4311_23-06-2014","frozen meals"
"2244_07-11-2014","beef"
"1385_28-03-2014","coffee"
"1218_07-09-2014","pork"
"2067_10-10-2014","jam"
"3342_24-07-2014","chocolate"
"2086_29-05-2014","soda"
"3763_14-06-2014","ham"
"4852_23-12-2014","chewing gum"
"1572_13-08-2014","finished products"
"1760_21-09-2014","soda"
"1616_01-04-2014","frankfurter"
"1463_17-11-2014","other vegetables"
"1415_28-12-2014","sausage"
"2106_20-01-2014","pastry"
"3751_15-02-2014","specialty bar"
"2001_18-10-2014","butter milk"
"3843_06-09-2014","tropical fruit"
"4400_31-01-2014","pet care"
"4324_25-01-2014","chicken"
"3583_31-01-2014","other vegetables"
"2312_25-02-2014","other vegetables"
"1756_03-06-2014","whole milk"
"3486_27-01-2014","whole milk"
"2991_30-04-2014","tropical fruit"
"1612_19-11-2014","sausage"
"4614_01-12-2014","sausage"
"3780_24-02-2014","rolls/buns"
"3248_16-04-2014","UHT-milk"
"2584_14-02-2014","whole milk"
"2963_27-05-2014","citrus fruit"
"3225_25-06-2014","white wine"
"2564_20-12-2014","curd"
"3501_13-06-2014","bottled beer"
"1450_17-11-2014","root vegetables"
"4445_07-11-2014","yogurt"
"1825_27-05-2014","zwieback"
"2573_19-01-2014","ham"
"3003_08-03-2014","citrus fruit"
"4851_08-11-2014","whole milk"
"1982_12-10-2014","liqueur"
"3952_04-11-2014","beef"
"4697_07-05-2014","semi-finished bread"
"1690_13-03-2014","frankfurter"
"1257_16-09-2014","rolls/buns"
"3082_04-08-2014","frankfurter"
"4909_20-07-2014","hamburger meat"
"1814_17-07-2014","other vegetables"
"2346_22-03-2014","condensed milk"
"2861_15-04-2014","whole milk"
"4558_27-08-2014","other vegetables"
"3291_14-01-2014","butter milk"
"4963_28-01-2014","bottled beer"
"4695_22-12-2014","beef"
"4002_08-07-2014","curd"
"3753_06-09-2014","bottled beer"
"1225_02-09-2014","pastry"
